"Date","Price","Open","High","Low","Change.."
2022-09-09,"18,198.10","18,298.90","18,298.90","18,148.50","0.16%"
2022-09-12,"18,319.80","18,257.85","18,352.80","18,255.55","0.67%"
2022-09-13,"18,453.70","18,429.05","18,471.05","18,393.45","0.73%"
2022-09-14,"18,405.60","18,147.60","18,486.95","18,147.60","-0.26%"
2022-09-15,"18,316.90","18,459.90","18,505.20","18,282.75","-0.48%"
2022-09-16,"17,938.10","18,239.15","18,259.10","17,898.30","-2.07%"
2022-09-19,"18,025.25","17,958.30","18,080.65","17,828.75","0.49%"
2022-09-20,"18,222.10","18,180.90","18,329.00","18,161.35","1.09%"
2022-09-21,"18,091.90","18,180.55","18,255.45","18,041.15","-0.71%"
2022-09-22,"18,030.40","17,988.50","18,111.45","17,914.15","-0.34%"
2022-09-23,"17,718.45","18,004.95","18,050.10","17,686.05","-1.73%"
2022-09-26,"17,374.80","17,549.00","17,576.40","17,329.30","-1.94%"
2022-09-27,"17,366.40","17,469.90","17,544.15","17,290.85","-0.05%"
2022-09-28,"17,219.55","17,229.00","17,401.40","17,179.25","-0.85%"
2022-09-29,"17,167.75","17,361.85","17,403.55","17,139.25","-0.30%"
2022-09-30,"17,438.60","17,146.95","17,518.10","17,080.65","1.58%"
2022-10-03,"17,190.90","17,448.70","17,469.90","17,137.30","-1.42%"
2022-10-04,"17,589.30","17,470.75","17,602.05","17,444.40","2.32%"
2022-10-06,"17,662.80","17,700.85","17,750.60","17,647.40","0.42%"
2022-10-07,"17,641.45","17,624.60","17,660.15","17,532.90","-0.12%"
2022-10-10,"17,553.15","17,419.20","17,596.15","17,380.60","-0.50%"
2022-10-11,"17,285.85","17,582.20","17,585.75","17,251.15","-1.52%"
2022-10-12,"17,423.40","17,330.80","17,440.45","17,249.90","0.80%"
2022-10-13,"17,302.15","17,393.00","17,417.15","17,247.40","-0.70%"
2022-10-14,"17,432.55","17,612.85","17,620.85","17,418.55","0.75%"
2022-10-17,"17,560.50","17,395.20","17,580.25","17,335.50","0.73%"
2022-10-18,"17,741.20","17,685.15","17,774.00","17,681.85","1.03%"
2022-10-19,"17,756.25","17,822.65","17,862.05","17,721.25","0.08%"
